date,feiertag,ist_feiertag
2016-01-01,Neujahr,1
2016-03-25,Karfreitag,1
2016-03-28,Ostermontag,1
2016-05-01,Erster Mai,1
2016-05-05,Christi Himmelfahrt,1
2016-05-16,Pfingstmontag,1
2016-10-03,Tag der Deutschen Einheit,1
2016-12-25,Erster Weihnachtstag,1
2016-12-26,Zweiter Weihnachtstag,1
2017-01-01,Neujahr,1
2017-04-14,Karfreitag,1
2017-04-17,Ostermontag,1
2017-05-01,Erster Mai,1
2017-05-25,Christi Himmelfahrt,1
2017-06-05,Pfingstmontag,1
2017-10-03,Tag der Deutschen Einheit,1
2017-12-25,Erster Weihnachtstag,1
2017-12-26,Zweiter Weihnachtstag,1
2017-10-31,Reformationstag,1
2018-01-01,Neujahr,1
2018-03-30,Karfreitag,1
2018-04-02,Ostermontag,1
2018-05-01,Erster Mai,1
2018-05-10,Christi Himmelfahrt,1
2018-05-21,Pfingstmontag,1
2018-10-03,Tag der Deutschen Einheit,1
2018-12-25,Erster Weihnachtstag,1
2018-12-26,Zweiter Weihnachtstag,1
2019-01-01,Neujahr,1
2019-04-19,Karfreitag,1
2019-04-22,Ostermontag,1
2019-05-01,Erster Mai,1
2019-05-30,Christi Himmelfahrt,1
2019-06-10,Pfingstmontag,1
2019-10-03,Tag der Deutschen Einheit,1
2019-12-25,Erster Weihnachtstag,1
2019-12-26,Zweiter Weihnachtstag,1
2020-01-01,Neujahr,1
2020-04-10,Karfreitag,1
2020-04-13,Ostermontag,1
2020-05-01,Erster Mai,1
2020-05-21,Christi Himmelfahrt,1
2020-06-01,Pfingstmontag,1
2020-10-03,Tag der Deutschen Einheit,1
2020-12-25,Erster Weihnachtstag,1
2020-12-26,Zweiter Weihnachtstag,1
2021-01-01,Neujahr,1
2021-04-02,Karfreitag,1
2021-04-05,Ostermontag,1
2021-05-01,Erster Mai,1
2021-05-13,Christi Himmelfahrt,1
2021-05-24,Pfingstmontag,1
2021-10-03,Tag der Deutschen Einheit,1
2021-12-25,Erster Weihnachtstag,1
2021-12-26,Zweiter Weihnachtstag,1
2022-01-01,Neujahr,1
2022-04-15,Karfreitag,1
2022-04-18,Ostermontag,1
2022-05-01,Erster Mai,1
2022-05-26,Christi Himmelfahrt,1
2022-06-06,Pfingstmontag,1
2022-10-03,Tag der Deutschen Einheit,1
2022-12-25,Erster Weihnachtstag,1
2022-12-26,Zweiter Weihnachtstag,1
2023-01-01,Neujahr,1
2023-04-07,Karfreitag,1
2023-04-10,Ostermontag,1
2023-05-01,Erster Mai,1
2023-05-18,Christi Himmelfahrt,1
2023-05-29,Pfingstmontag,1
2023-10-03,Tag der Deutschen Einheit,1
2023-12-25,Erster Weihnachtstag,1
2023-12-26,Zweiter Weihnachtstag,1
2024-01-01,Neujahr,1
2024-03-29,Karfreitag,1
2024-04-01,Ostermontag,1
2024-05-01,Erster Mai,1
2024-05-09,Christi Himmelfahrt,1
2024-05-20,Pfingstmontag,1
2024-10-03,Tag der Deutschen Einheit,1
2024-12-25,Erster Weihnachtstag,1
2024-12-26,Zweiter Weihnachtstag,1
2025-01-01,Neujahr,1
2025-04-18,Karfreitag,1
2025-04-21,Ostermontag,1
2025-05-01,Erster Mai,1
2025-05-29,Christi Himmelfahrt,1
2025-06-09,Pfingstmontag,1
2025-10-03,Tag der Deutschen Einheit,1
2025-12-25,Erster Weihnachtstag,1
2025-12-26,Zweiter Weihnachtstag,1
2026-01-01,Neujahr,1
2026-04-03,Karfreitag,1
2026-04-06,Ostermontag,1
2026-05-01,Erster Mai,1
2026-05-14,Christi Himmelfahrt,1
2026-05-25,Pfingstmontag,1
2026-10-03,Tag der Deutschen Einheit,1
2026-12-25,Erster Weihnachtstag,1
2026-12-26,Zweiter Weihnachtstag,1
2014-01-01,Neujahr,1
2014-04-18,Karfreitag,1
2014-04-21,Ostermontag,1
2014-05-01,Erster Mai,1
2014-05-29,Christi Himmelfahrt,1
2014-06-09,Pfingstmontag,1
2014-10-03,Tag der Deutschen Einheit,1
2014-12-25,Erster Weihnachtstag,1
2014-12-26,Zweiter Weihnachtstag,1
2015-01-01,Neujahr,1
2015-04-03,Karfreitag,1
2015-04-06,Ostermontag,1
2015-05-01,Erster Mai,1
2015-05-14,Christi Himmelfahrt,1
2015-05-25,Pfingstmontag,1
2015-10-03,Tag der Deutschen Einheit,1
2015-12-25,Erster Weihnachtstag,1
2015-12-26,Zweiter Weihnachtstag,1
