bundesland,jahr,ferien_typ,start,ende
BW,2019,osterferien baden-württemberg 2019,2019-04-15,2019-04-27
BW,2019,pfingstferien baden-württemberg 2019,2019-06-11,2019-06-21
BW,2019,sommerferien baden-württemberg 2019,2019-07-29,2019-09-10
BW,2019,herbstferien baden-württemberg 2019,2019-10-28,2019-10-31
BW,2019,weihnachtsferien baden-württemberg 2019,2019-12-23,2020-01-04
BW,2020,osterferien baden-württemberg 2020,2020-04-06,2020-04-18
BW,2020,pfingstferien baden-württemberg 2020,2020-06-02,2020-06-13
BW,2020,sommerferien baden-württemberg 2020,2020-07-30,2020-09-12
BW,2020,herbstferien baden-württemberg 2020,2020-10-26,2020-10-30
BW,2020,herbstferien beweglicher ferientag baden-württemberg 2020,2020-10-31,2020-10-31
BW,2020,weihnachtsferien baden-württemberg 2020,2020-12-23,2021-01-09
BW,2021,osterferien baden-württemberg 2021,2021-04-06,2021-04-10
BW,2021,pfingstferien baden-württemberg 2021,2021-05-25,2021-06-05
BW,2021,sommerferien baden-württemberg 2021,2021-07-29,2021-09-11
BW,2021,herbstferien baden-württemberg 2021,2021-11-02,2021-11-06
BW,2021,weihnachtsferien baden-württemberg 2021,2021-12-23,2022-01-08
BW,2022,osterferien baden-württemberg 2022,2022-04-19,2022-04-23
BW,2022,pfingstferien baden-württemberg 2022,2022-06-07,2022-06-18
BW,2022,sommerferien baden-württemberg 2022,2022-07-28,2022-09-10
BW,2022,herbstferien baden-württemberg 2022 (beweglicher ferientag),2022-10-31,2022-10-31
BW,2022,herbstferien baden-württemberg 2022,2022-11-02,2022-11-04
BW,2022,weihnachtsferien baden-württemberg 2022,2022-12-21,2023-01-07
BW,2023,osterferien baden-württemberg 2023 (beweglicher ferientag),2023-04-06,2023-04-06
BW,2023,osterferien baden-württemberg 2023,2023-04-11,2023-04-15
BW,2023,pfingstferien baden-württemberg 2023,2023-05-30,2023-06-09
BW,2023,sommerferien baden-württemberg 2023,2023-07-27,2023-09-09
BW,2023,herbstferien baden-württemberg 2023,2023-10-30,2023-11-03
BW,2023,weihnachtsferien baden-württemberg 2023,2023-12-23,2024-01-05
BW,2024,osterferien baden-württemberg 2024,2024-03-23,2024-04-05
BW,2024,pfingstferien baden-württemberg 2024,2024-05-21,2024-05-31
BW,2024,sommerferien baden-württemberg 2024,2024-07-25,2024-09-07
BW,2024,herbstferien baden-württemberg 2024,2024-10-28,2024-10-30
BW,2024,herbstferien baden-württemberg 2024 (beweglicher ferientag),2024-10-31,2024-10-31
BW,2024,weihnachtsferien baden-württemberg 2024,2024-12-23,2025-01-04
BW,2025,osterferien baden-württemberg 2025,2025-04-14,2025-04-26
BW,2025,pfingstferien baden-württemberg 2025,2025-06-10,2025-06-20
BW,2025,sommerferien baden-württemberg 2025,2025-07-31,2025-09-13
BW,2025,herbstferien baden-württemberg 2025,2025-10-27,2025-10-30
BW,2025,herbstferien baden-württemberg 2025 (beweglicher ferientag),2025-10-31,2025-10-31
BW,2025,weihnachtsferien baden-württemberg 2025,2025-12-22,2026-01-05
BW,2026,osterferien baden-württemberg 2026,2026-03-30,2026-04-12
BW,2026,pfingstferien baden-württemberg 2026,2026-05-26,2026-06-06
BW,2026,sommerferien baden-württemberg 2026,2026-07-30,2026-09-13
