bundesland,jahr,ferien_typ,start,ende
BW,2019,Weihnachtsferien,2019-12-23,2020-01-04
BW,2020,Weihnachtsferien,2019-12-23,2020-01-04
BW,2020,Osterferien,2020-04-06,2020-04-18
BW,2020,Pfingstferien,2020-06-02,2020-06-13
BW,2020,Sommerferien,2020-07-30,2020-09-12
BW,2020,Herbstferien,2020-10-26,2020-10-30
BW,2020,Weihnachtsferien,2020-12-23,2021-01-09
BW,2021,Weihnachtsferien,2020-12-23,2021-01-09
BW,2021,Osterferien,2021-04-06,2021-04-10
BW,2021,Pfingstferien,2021-05-25,2021-06-05
BW,2021,Sommerferien,2021-07-29,2021-09-11
BW,2021,Herbstferien,2021-11-02,2021-11-06
BW,2021,Weihnachtsferien,2021-12-23,2022-01-08
BW,2022,Weihnachtsferien,2021-12-23,2022-01-08
BW,2022,Osterferien,2022-04-19,2022-04-23
BW,2022,Pfingstferien,2022-06-07,2022-06-18
BW,2022,Sommerferien,2022-07-28,2022-09-10
BW,2022,Reformationsfest,2022-10-31,2022-10-31
BW,2022,Herbstferien,2022-11-02,2022-11-04
BW,2022,Weihnachtsferien,2022-12-21,2023-01-07
BW,2023,Weihnachtsferien,2022-12-21,2023-01-07
BW,2023,Gründonnerstag,2023-04-06,2023-04-06
BW,2023,Osterferien,2023-04-11,2023-04-15
BW,2023,Pfingstferien,2023-05-30,2023-06-09
BW,2023,Sommerferien,2023-07-27,2023-09-09
BW,2023,Herbstferien,2023-10-30,2023-11-03
BW,2023,Weihnachtsferien,2023-12-23,2024-01-05
BW,2024,Weihnachtsferien,2023-12-23,2024-01-05
BW,2024,Osterferien,2024-03-23,2024-04-05
BW,2024,Pfingstferien,2024-05-21,2024-05-31
BW,2024,Sommerferien,2024-07-25,2024-09-07
BW,2024,Herbstferien,2024-10-28,2024-10-30
BW,2024,Reformationsfest,2024-10-31,2024-10-31
BW,2024,Weihnachtsferien,2024-12-23,2025-01-04
BW,2025,Weihnachtsferien,2024-12-23,2025-01-04
BW,2025,Osterferien,2025-04-14,2025-04-26
BW,2025,Pfingstferien,2025-06-10,2025-06-20
BW,2025,Sommerferien,2025-07-31,2025-09-13
BW,2025,Herbstferien,2025-10-27,2025-10-30
BW,2025,Reformationsfest,2025-10-31,2025-10-31
BW,2025,Weihnachtsferien,2025-12-22,2026-01-05
BY,2019,Weihnachtsferien,2019-12-23,2020-01-04
BY,2020,Weihnachtsferien,2019-12-23,2020-01-04
BY,2020,Frühjahrsferien,2020-02-24,2020-02-28
BY,2020,Osterferien,2020-04-06,2020-04-18
BY,2020,Pfingstferien,2020-06-02,2020-06-13
BY,2020,Sommerferien,2020-07-27,2020-09-07
BY,2020,Herbstferien,2020-10-31,2020-11-06
BY,2020,Buß- und Bettag,2020-11-18,2020-11-18
BY,2020,Weihnachtsferien,2020-12-23,2021-01-09
BY,2021,Weihnachtsferien,2020-12-23,2021-01-09
BY,2021,Osterferien,2021-03-29,2021-04-10
BY,2021,Pfingstferien,2021-05-25,2021-06-04
BY,2021,Sommerferien,2021-07-30,2021-09-13
