uuid,name,city,post_code
af570662-51fc-4247-aeef-26b5f016dd7d,"Aral Tankstelle, BAT TECKLENBURGER LAND WEST",Tecklenburg,49545
2ba60331-fdda-4145-b49c-d2defabb22b6,Aral Tankstelle,Mönchengladbach,41169
3d504716-7e46-4d8e-bf64-90c0c48257d2,Aral Tankstelle,Gevelsberg,58285
bad9399d-cf93-4d0c-bcd6-57c0a65b12f4,Aral Tankstelle,Gronau,48599
d41fb463-9529-4f0c-9236-7f1d4731bb09,Aral Tankstelle,Duisburg,47119
495a3b58-2b13-4ce0-b613-16f8dd321956,Aral Tankstelle,Dortmund,44145
6384cdc0-ae0c-4463-bf8f-9707083e80f5,Aral Tankstelle,Geseke,59590
4fc2b6b4-7237-4ad6-be97-2cb76e675c70,"Aral Tankstelle, BAT Hochwald West",Reinsfeld,54421
88149d2f-3258-445b-bfa4-60898e7fb186,Aral Tankstelle,Münster,48161
509ebb5b-475d-49b3-a4c0-c86fef5b1e08,Aral Tankstelle,Mainz,55131
0314b4ac-e418-4650-b5f7-6f11f1a725bc,Aral Tankstelle,Nettetal,41334
3de25454-a313-435e-88b0-742daaeb8927,Aral Tankstelle,Bad Honnef,53604
20efc863-750e-4c30-81a6-5a231e110384,Aral Tankstelle,Soest,59494
62dd92b2-b399-4158-9dea-79cc828eb8be,Aral Tankstelle,Elkenroth,57578
cbe410f1-aeca-4ae6-bf0e-8a2a17151a30,Aral Tankstelle,Leichlingen,42799
6551baf8-ed83-4616-aeb4-52f54fa52d1c,Aral Tankstelle,Dierdorf,56269
64cde182-0fe2-4232-9d5b-6f628f96c4f5,Aral Tankstelle,Issum,47661
57e11dbe-2e10-426b-ae4d-a6608300231a,Aral Tankstelle,Morbach,54497
ec495ae3-4042-4686-8d68-c55a0cc5ff8b,Aral Tankstelle,Mönchengladbach,41199
178f3304-cbc8-4ba5-9c38-81b59baac5fe,"Aral Tankstelle, Frechen",Frechen,50226
1cffa956-568b-44d3-ae75-1fd8e9a33a65,Aral Tankstelle,Brilon,59929
1e6d1e44-6d11-4cfe-84e3-ffc55af58185,Aral Tankstelle,Bonn,53227
aa7ec0ed-f087-48e5-95c1-bcb47affa5cf,Aral Tankstelle,Arnsberg,59755
2d4b0fee-65f0-4959-bad8-ba2dd558e841,Aral Tankstelle,Borken,46325
490fc83b-1b1c-4e8a-aa1c-f1a35ea2c737,Aral Tankstelle,Ahlen,59229
750e14ea-2eff-4860-890f-c89a18a06696,Aral Tankstelle,Sprockhövel,45549
e36dd09c-8d02-4ae4-993d-d30b333df195,"Aral Tankstelle, BAT SIEGERLAND OST",Freudenberg,57258
e404cb90-fa41-4665-958e-7bc255360569,Aral Tankstelle,Troisdorf,53840
e4df0a73-1c38-415c-8e46-03b0148fe1f2,Aral Tankstelle,Waldböckelheim,55596
46bcbfea-d580-437d-ad82-1502e407739b,Aral Tankstelle,Willroth,56594
ba1d95a4-c1d8-4a0d-b759-c74352fc6710,"Aral Tankstelle, Sabine Tessier",Krefeld,47809
b5a6d284-d502-425f-bd11-f8acfe874239,Aral Tankstelle,Düsseldorf,40239
d84b215e-d0fa-4e90-948a-39ec3431f5e1,Aral Tankstelle,Mogendorf,56424
86743cec-3b18-4c86-a213-000a133380cc,Aral Tankstelle,Köln,50827
55e18740-267b-4032-a953-5441bc56d6b1,Aral Tankstelle,Sankt Augustin,53757
bcce4eea-3c9a-490c-9eb0-95030f4ba72c,Aral Tankstelle,Velbert,42553
5a876b22-b0f7-4aaa-aa6c-22622c5d5a8d,Aral Tankstelle,Leverkusen,51375
70fd19ae-e581-4d25-8084-b5403b9e231b,Aral Tankstelle,Arnsberg,59759
1f2216ce-2c35-4a21-872d-b98cb79fca6a,Aral Tankstelle,Löningen,49624
461e062a-63b8-4116-ac1d-7c6f8cbd343b,Aral Tankstelle,Aachen,52072
c21ccfa9-5071-4801-a8ad-4653172bf4b6,Aral Tankstelle,Düsseldorf,40627
cd59c7ed-9e60-4ffe-8cd8-f095e020f98c,Aral Tankstelle,Gelsenkirchen,45889
6fb097bc-5e58-482d-9ea0-1632bcdcb924,Aral Tankstelle,Gummersbach,51645
91c0315a-068d-49cb-8255-68fc5c4e5d79,Aral Tankstelle,Mechernich,53894
0a8101fe-0d61-4a97-aac7-86e3173cb298,Aral Tankstelle,Erndtebrück,57339
34a515e7-8e39-4b6b-9fe7-3212380be8a5,Aral Tankstelle,Diepholz,49356
d4f7bc57-a04e-4471-9145-d395ecd3d4f9,Aral Tankstelle,Krefeld,47803
4482170a-fc63-4120-b9bd-98b478b04f87,Aral Tankstelle,Schwerte,58239
9f696ac2-abc1-46a3-8e83-a3a55550498a,Aral Tankstelle,Brohl-Lützing,56656
5a9cc35e-b151-4090-b9f1-016e64c41411,Aral Tankstelle,BOCHUM,44894
