datum,predicted_delta,actual_delta,richtung_korrekt
2026-06-11,0.02836,0.02,1
2026-06-12,-0.0079,0.03,0
2026-06-13,0.02105,-0.03,0
2026-06-14,-0.01774,-0.07,1
2026-06-15,-0.03526,-0.054,1
2026-06-16,-0.04366,-0.03,1
2026-06-17,0.02633,0.01,1
2026-06-18,-0.00563,-0.06,1
2026-06-19,-0.03195,-0.016,1
2026-06-20,0.02788,0.03,1
2026-06-21,-0.01682,0.013,0
2026-06-22,0.02317,-0.02,0
2026-06-23,-0.0247,-0.012,1
2026-06-24,0.01959,0.04,1
2026-06-25,0.01029,0.024,1
2026-06-26,0.01433,0.0,0
2026-06-27,-0.0188,-0.015,1
2026-06-28,-0.00075,0.05,0
2026-06-29,0.01255,0.176,1
2026-06-30,0.03786,0.216,1
2026-07-01,0.04813,0.104,1
2026-07-02,0.04255,-0.07,0
2026-07-03,-0.02884,-0.05,1
2026-07-04,0.04837,0.014,1
2026-07-05,-0.02556,0.002,0
2026-07-06,0.02357,0.0,0
2026-07-07,-0.01881,,
2026-07-08,,,
